,Date,Rounded_Time,Return,Positive,Negative
198,02/05/2018,14:30,0.00019808318697478455,1,0
420,03/22/2018,13:30,0.0010901359143158373,1,0
450,03/28/2018,11:00,-0.0009410748022329329,0,1
508,04/10/2018,13:30,-0.001986721992006224,1,0
525,04/12/2018,14:00,-0.0021733446216885,1,0
589,04/24/2018,14:00,0.00031058138202233465,0,1
700,05/16/2018,13:30,0.0009074168601514998,0,1
825,06/07/2018,10:30,0.0018803350421396914,0,1
830,06/07/2018,14:30,-0.00015093103604257863,1,0
854,06/12/2018,14:30,0.0019150024628427076,1,0
855,06/12/2018,15:00,0.0004059528988005212,0,1
903,06/21/2018,15:00,-0.003616778557157474,1,0
1004,07/10/2018,13:30,-0.0027539307147641523,1,0
1168,08/08/2018,10:00,-0.0010289905428448876,1,0
1208,08/15/2018,10:00,-0.006426221066933024,0,1
1555,10/23/2018,11:30,-0.004211222541028015,1,0
1663,11/09/2018,15:00,-0.0010960295986821578,1,0
1822,12/07/2018,14:30,-0.0006529245489605984,1,0
1857,12/14/2018,10:30,-0.0029756703858065947,0,1
1871,12/17/2018,15:00,0.0027212054842600253,0,1
2213,02/25/2019,14:00,-0.001916402276650686,1,0
2390,03/27/2019,14:30,2.6558925958042323e-05,1,0
2556,04/26/2019,13:30,0.008987164413388982,0,1
2613,05/10/2019,14:00,0.00905859453037916,1,0
2617,05/13/2019,10:30,-0.0016262397655468774,1,0
2666,05/21/2019,11:00,0.005861885518731569,0,1
2693,05/24/2019,14:00,0.00024522855424091716,1,0
2890,07/01/2019,11:00,0.002416072327605434,0,1
3040,07/26/2019,10:00,0.002864686536835137,0,1
3043,07/26/2019,11:30,0.00011935514136407477,1,0
3109,08/07/2019,14:00,0.0015230982181453356,1,0
3145,08/14/2019,10:30,-0.0035084273596712734,1,0
3149,08/14/2019,14:00,0.0006926597878909035,1,0
3154,08/15/2019,11:00,0.003313517436879465,1,0
3155,08/15/2019,11:30,-0.0004226073503454941,1,0
3159,08/15/2019,15:00,0.0005044243807867943,1,0
3280,09/06/2019,10:00,-0.0014192712672453922,0,1
3383,09/25/2019,15:00,-0.0014336192883268595,1,0
3405,09/30/2019,14:00,-0.00034469754838184485,0,1
3442,10/14/2019,11:00,0.0009673102904859121,1,0
3445,10/14/2019,14:00,0.0002925463856477961,1,0
3540,10/30/2019,13:30,-0.00035708273986401196,0,1
3640,11/18/2019,10:00,0.0032547208321522803,1,0
3839,12/20/2019,15:00,-0.0022205388942548865,1,0
